ts,time,pkg,core16,core20,nvme,pl1,gpu_temp,gpu_power,gpu_util,train_tag
1788458777,02:06:17,67.0,67.0,57.0,74,4095,58,91.33,30,ep15
1788458782,02:06:22,62.0,54.0,57.0,74,4095,58,90.53,31,ep15
1788458787,02:06:27,62.0,54.0,53.0,74,4095,58,91.73,30,ep15
1788458792,02:06:32,63.0,56.0,55.0,74,4095,58,92.07,31,ep15
1788458797,02:06:37,63.0,55.0,59.0,74,4095,58,91.86,30,ep15
1788458802,02:06:42,63.0,62.0,54.0,74,4095,58,91.84,30,ep15
1788458807,02:06:47,63.0,54.0,55.0,74,4095,58,91.42,30,ep15
1788458812,02:06:52,64.0,56.0,59.0,74,4095,58,91.87,31,ep15
1788458817,02:06:57,63.0,58.0,57.0,74,4095,58,91.18,30,ep15
1788458822,02:07:02,65.0,55.0,62.0,74,4095,58,91.66,30,ep15
1788458827,02:07:07,66.0,56.0,61.0,74,4095,58,91.72,30,ep15
1788458832,02:07:12,64.0,56.0,59.0,74,4095,58,91.63,33,ep15
1788458837,02:07:17,64.0,56.0,59.0,74,4095,58,91.54,30,ep15
1788458842,02:07:22,66.0,58.0,59.0,74,4095,58,91.18,33,ep15
1788458847,02:07:27,64.0,55.0,58.0,74,4095,58,91.01,31,ep15
1788458853,02:07:33,62.0,55.0,57.0,74,4095,58,91.04,31,ep15
1788458858,02:07:38,64.0,65.0,57.0,74,4095,58,90.99,27,ep15
1788458863,02:07:43,67.0,55.0,59.0,74,4095,58,92.99,25,ep15
1788458868,02:07:48,64.0,58.0,59.0,74,4095,58,92.60,28,ep15
1788458873,02:07:53,68.0,55.0,57.0,74,4095,58,93.07,28,ep15
1788458879,02:07:59,64.0,58.0,57.0,74,4095,58,93.54,25,ep15
1788458884,02:08:04,69.0,56.0,58.0,74,4095,58,91.71,30,ep15
1788458889,02:08:09,66.0,56.0,57.0,74,4095,58,93.25,27,ep15
1788458894,02:08:14,67.0,56.0,58.0,74,4095,58,92.91,25,ep15
1788458899,02:08:19,61.0,55.0,59.0,74,4095,58,91.60,33,ep15
1788458904,02:08:24,65.0,55.0,57.0,74,4095,58,94.03,28,ep15
1788458909,02:08:29,63.0,57.0,63.0,74,4095,58,90.67,25,ep15
1788458914,02:08:34,64.0,58.0,59.0,74,4095,58,93.70,25,ep15
1788458919,02:08:39,64.0,58.0,57.0,74,4095,58,93.31,27,ep15
1788458924,02:08:44,64.0,58.0,58.0,74,4095,58,91.30,25,ep15
1788458929,02:08:49,65.0,58.0,59.0,74,4095,58,90.98,33,ep15
1788458934,02:08:54,63.0,54.0,57.0,74,4095,58,93.17,28,ep15
1788458939,02:08:59,63.0,54.0,56.0,74,4095,58,93.03,27,ep15
1788458944,02:09:04,63.0,56.0,57.0,74,4095,58,93.09,25,ep15
1788458949,02:09:09,67.0,67.0,54.0,74,4095,58,91.23,32,ep15
1788458954,02:09:14,64.0,55.0,56.0,74,4095,58,91.19,28,ep15
1788458959,02:09:19,64.0,57.0,56.0,74,4095,58,93.11,25,ep15
1788458965,02:09:25,63.0,56.0,58.0,74,4095,58,90.48,35,ep15
1788458970,02:09:30,66.0,59.0,62.0,74,4095,58,91.60,24,ep15
1788458975,02:09:35,65.0,59.0,59.0,74,4095,58,91.54,33,ep15
1788458980,02:09:40,65.0,58.0,56.0,74,4095,58,90.75,33,ep15
1788458985,02:09:45,63.0,54.0,56.0,74,4095,58,90.25,25,ep15
1788458990,02:09:50,65.0,56.0,57.0,74,4095,58,90.69,30,ep15
1788458995,02:09:55,62.0,55.0,56.0,74,4095,58,90.20,34,ep15
1788459000,02:10:00,70.0,56.0,62.0,74,4095,58,91.06,35,ep15
1788459005,02:10:05,64.0,58.0,58.0,74,4095,58,90.19,33,ep15
1788459010,02:10:10,67.0,58.0,54.0,74,4095,58,90.72,34,ep15
1788459015,02:10:15,63.0,56.0,57.0,74,4095,58,90.91,35,ep? s50
1788459020,02:10:20,68.0,55.0,56.0,74,4095,58,83.14,30,ep? s50
