ts,time,pkg,core16,core20,gpu_temp,gpu_power,gpu_util,train_tag
1788337415,16:23:35,70.0,58.0,62.0,57,93.26,35,ep? s3950
1788337420,16:23:40,69.0,58.0,59.0,58,92.43,29,ep? s3950
1788337425,16:23:45,67.0,59.0,67.0,58,96.35,35,ep? s3950
1788337430,16:23:50,63.0,58.0,58.0,57,92.63,30,ep? s3950
1788337435,16:23:55,63.0,56.0,57.0,57,93.95,30,ep? s3950
1788337440,16:24:00,66.0,60.0,59.0,57,92.80,29,ep? s3950
1788337445,16:24:05,64.0,58.0,58.0,57,93.87,30,ep? s3950
1788337450,16:24:10,64.0,58.0,61.0,57,93.85,30,ep? s3950
1788337455,16:24:15,80.0,61.0,59.0,57,93.83,30,ep? s50
1788337460,16:24:20,65.0,62.0,65.0,57,93.32,30,ep? s50
1788337465,16:24:25,64.0,58.0,62.0,58,93.93,30,ep? s50
1788337470,16:24:30,62.0,60.0,58.0,57,93.78,30,ep? s50
1788337475,16:24:35,64.0,59.0,61.0,58,93.99,29,ep? s50
1788337480,16:24:40,66.0,60.0,59.0,58,93.76,30,ep? s50
1788337485,16:24:45,63.0,59.0,59.0,58,93.55,29,ep? s50
1788337490,16:24:50,64.0,58.0,61.0,58,93.59,27,ep? s50
1788337496,16:24:56,66.0,59.0,61.0,58,93.79,32,ep? s50
1788337501,16:25:01,64.0,60.0,58.0,58,95.79,27,ep? s50
1788337506,16:25:06,65.0,59.0,59.0,58,94.02,32,ep? s50
1788337511,16:25:11,66.0,58.0,57.0,58,92.75,34,ep? s50
1788337516,16:25:16,69.0,60.0,57.0,58,93.27,25,ep? s50
1788337521,16:25:21,70.0,61.0,57.0,58,93.57,34,ep? s50
1788337526,16:25:26,70.0,61.0,61.0,59,110.53,33,ep? s50
1788337531,16:25:31,64.0,59.0,59.0,58,94.60,31,ep? s50
1788337536,16:25:36,64.0,58.0,59.0,58,95.71,34,ep? s50
1788337541,16:25:41,64.0,60.0,59.0,58,94.15,30,ep? s50
1788337546,16:25:46,64.0,60.0,58.0,58,94.10,30,ep? s50
1788337551,16:25:51,67.0,60.0,67.0,58,93.73,29,ep? s50
1788337556,16:25:56,66.0,58.0,61.0,58,94.26,30,ep? s50
1788337561,16:26:01,64.0,56.0,62.0,58,93.03,30,ep? s50
1788337566,16:26:06,66.0,59.0,61.0,58,94.59,30,ep? s50
1788337571,16:26:11,66.0,58.0,61.0,58,94.18,30,ep? s50
1788337576,16:26:16,66.0,62.0,62.0,59,94.57,30,ep? s50
1788337581,16:26:21,63.0,60.0,61.0,58,94.55,31,ep? s50
1788337586,16:26:26,64.0,60.0,62.0,58,94.01,29,ep? s50
1788337592,16:26:32,67.0,60.0,62.0,58,93.15,31,ep? s50
1788337597,16:26:37,64.0,60.0,58.0,59,95.55,28,ep? s50
1788337602,16:26:42,76.0,59.0,69.0,58,93.57,30,ep? s50
1788337607,16:26:47,64.0,58.0,61.0,59,94.62,30,ep? s50
1788337612,16:26:52,66.0,60.0,61.0,59,93.18,30,ep? s50
1788337617,16:26:57,64.0,58.0,61.0,59,94.76,30,ep? s50
1788337622,16:27:02,66.0,62.0,62.0,59,95.09,30,ep? s50
1788337627,16:27:07,62.0,56.0,57.0,59,94.86,30,ep? s50
1788337632,16:27:12,69.0,58.0,58.0,59,94.83,31,ep? s50
1788337638,16:27:18,62.0,60.0,58.0,59,94.54,30,ep? s50
1788337643,16:27:23,69.0,59.0,63.0,59,94.99,30,ep? s50
1788337648,16:27:28,66.0,58.0,66.0,59,94.82,30,ep? s50
1788337653,16:27:33,64.0,59.0,61.0,59,95.23,30,ep? s50
1788337658,16:27:38,63.0,58.0,61.0,59,95.18,30,ep? s50
1788337663,16:27:43,80.0,58.0,65.0,59,95.17,28,ep? s50
1788337668,16:27:48,64.0,58.0,62.0,59,95.20,31,ep? s50
1788337673,16:27:53,63.0,58.0,61.0,59,96.95,28,ep? s50
1788337678,16:27:58,67.0,58.0,63.0,59,96.59,25,ep? s50
1788337683,16:28:03,65.0,56.0,65.0,59,96.72,28,ep? s50
1788337688,16:28:08,65.0,55.0,59.0,60,93.61,24,ep? s50
1788337693,16:28:13,70.0,55.0,59.0,59,94.20,33,ep? s50
1788337698,16:28:18,68.0,55.0,66.0,59,93.60,34,ep? s50
1788337703,16:28:23,72.0,60.0,63.0,59,94.42,33,ep? s50
1788337708,16:28:28,71.0,63.0,59.0,59,93.83,31,ep? s50
1788337713,16:28:33,64.0,61.0,61.0,59,97.98,30,ep? s150
1788337719,16:28:39,71.0,62.0,61.0,59,97.94,35,ep? s150
1788337724,16:28:44,66.0,59.0,61.0,60,95.24,30,ep? s150
1788337729,16:28:49,64.0,58.0,62.0,59,95.19,30,ep? s150
1788337734,16:28:54,66.0,58.0,61.0,59,95.19,30,ep? s150
1788337739,16:28:59,63.0,58.0,62.0,59,94.83,30,ep? s150
1788337744,16:29:04,63.0,58.0,59.0,59,95.06,30,ep? s150
1788337749,16:29:09,76.0,56.0,61.0,59,94.85,31,ep? s150
1788337754,16:29:14,64.0,63.0,59.0,59,95.13,30,ep? s150
1788337759,16:29:19,66.0,59.0,63.0,59,94.91,30,ep? s150
1788337764,16:29:24,67.0,59.0,62.0,59,95.28,30,ep? s200
1788337769,16:29:29,64.0,59.0,61.0,59,95.10,31,ep? s200
1788337774,16:29:34,64.0,59.0,63.0,59,95.08,25,ep? s200
1788337779,16:29:39,64.0,60.0,62.0,59,90.43,31,ep? s200
1788337784,16:29:44,66.0,60.0,62.0,59,94.30,20,ep? s200
1788337789,16:29:49,62.0,59.0,62.0,59,96.48,25,ep? s200
1788337794,16:29:54,65.0,60.0,67.0,59,94.11,33,ep? s200
1788337799,16:29:59,68.0,60.0,63.0,60,94.28,25,ep? s200
1788337804,16:30:04,71.0,66.0,61.0,59,94.51,33,ep? s200
1788337809,16:30:09,72.0,58.0,61.0,59,93.25,35,ep? s200
1788337814,16:30:14,81.0,63.0,67.0,59,97.70,30,ep? s250
1788337819,16:30:19,72.0,59.0,62.0,59,97.75,34,ep? s250
1788337825,16:30:25,64.0,60.0,62.0,60,94.77,29,ep? s250
1788337830,16:30:30,66.0,60.0,62.0,60,94.88,30,ep? s250
1788337835,16:30:35,64.0,58.0,61.0,59,94.94,29,ep? s250
1788337840,16:30:40,64.0,65.0,62.0,59,95.02,30,ep? s250
1788337845,16:30:45,64.0,58.0,61.0,59,95.15,30,ep? s250
1788337850,16:30:50,66.0,62.0,61.0,59,95.25,31,ep? s250
1788337855,16:30:55,64.0,59.0,63.0,59,95.19,30,ep? s250
1788337860,16:31:00,64.0,59.0,61.0,59,95.41,31,ep? s250
1788337865,16:31:05,66.0,59.0,59.0,59,94.95,30,ep? s300
1788337870,16:31:10,66.0,60.0,58.0,59,94.99,31,ep? s300
1788337875,16:31:15,64.0,58.0,63.0,59,94.98,27,ep? s300
1788337880,16:31:20,66.0,59.0,59.0,59,95.21,31,ep? s300
1788337885,16:31:25,66.0,58.0,62.0,59,94.07,27,ep? s300
1788337890,16:31:30,66.0,58.0,65.0,59,96.41,25,ep? s300
1788337895,16:31:35,67.0,59.0,62.0,59,96.60,27,ep? s300
1788337900,16:31:40,68.0,59.0,63.0,60,96.63,25,ep? s300
1788337906,16:31:46,63.0,56.0,63.0,59,95.36,30,ep? s300
1788337911,16:31:51,63.0,55.0,58.0,59,95.35,30,ep? s300
1788337916,16:31:56,64.0,55.0,57.0,59,94.99,30,ep? s350
1788337921,16:32:01,64.0,55.0,58.0,59,94.66,30,ep? s350
1788337926,16:32:06,66.0,56.0,59.0,59,94.96,30,ep? s350
1788337931,16:32:11,66.0,59.0,62.0,59,95.03,30,ep? s350
1788337936,16:32:16,72.0,60.0,72.0,59,94.95,28,ep? s350
1788337941,16:32:21,64.0,59.0,61.0,59,94.67,31,ep? s350
1788337946,16:32:26,64.0,56.0,58.0,59,96.87,28,ep? s350
1788337951,16:32:31,64.0,60.0,59.0,59,96.52,25,ep? s350
1788337956,16:32:36,82.0,58.0,59.0,59,96.61,28,ep? s350
1788337961,16:32:41,72.0,59.0,61.0,59,94.29,25,ep? s350
1788337967,16:32:47,68.0,59.0,62.0,59,94.03,33,ep? s400
1788337972,16:32:52,70.0,59.0,62.0,59,94.06,30,ep? s400
1788337977,16:32:57,67.0,59.0,61.0,59,87.78,30,ep? s400
1788337982,16:33:02,68.0,66.0,61.0,59,93.40,33,ep? s400
1788337987,16:33:07,69.0,59.0,61.0,59,97.56,29,ep? s400
1788337992,16:33:12,68.0,59.0,59.0,59,96.96,33,ep? s400
1788337997,16:33:17,66.0,61.0,62.0,59,95.04,29,ep? s400
1788338002,16:33:22,70.0,56.0,61.0,59,94.85,30,ep? s400
1788338007,16:33:27,70.0,58.0,61.0,59,94.70,30,ep? s400
1788338012,16:33:32,64.0,59.0,62.0,59,94.58,29,ep? s400
1788338017,16:33:37,64.0,60.0,62.0,59,94.78,30,ep? s450
1788338022,16:33:42,64.0,60.0,61.0,59,94.53,31,ep? s450
1788338027,16:33:47,66.0,60.0,65.0,59,94.39,30,ep? s450
1788338032,16:33:52,66.0,60.0,66.0,59,95.08,30,ep? s450
1788338037,16:33:57,64.0,60.0,61.0,59,94.96,30,ep? s450
1788338042,16:34:02,83.0,60.0,62.0,59,94.55,34,ep? s450
1788338047,16:34:07,64.0,61.0,61.0,59,95.08,30,ep? s450
1788338052,16:34:12,64.0,58.0,61.0,59,94.86,32,ep? s450
1788338057,16:34:17,67.0,58.0,58.0,59,94.81,28,ep? s450
1788338063,16:34:23,64.0,58.0,61.0,59,94.83,26,ep? s450
1788338068,16:34:28,64.0,59.0,61.0,59,95.99,28,ep? s500
1788338073,16:34:33,64.0,60.0,61.0,59,94.74,27,ep? s500
1788338078,16:34:38,67.0,59.0,59.0,59,94.18,18,ep? s500
1788338083,16:34:43,69.0,59.0,59.0,60,96.17,27,ep? s500
1788338088,16:34:48,68.0,57.0,61.0,60,96.51,25,ep? s500
1788338093,16:34:53,69.0,59.0,59.0,60,93.77,34,ep? s500
1788338098,16:34:58,76.0,60.0,62.0,59,93.50,18,ep? s500
1788338103,16:35:03,73.0,58.0,61.0,59,96.37,34,ep? s500
1788338108,16:35:08,69.0,60.0,61.0,59,94.25,35,ep? s500
1788338113,16:35:13,71.0,59.0,61.0,60,95.05,30,ep? s500
1788338118,16:35:18,62.0,56.0,59.0,60,97.54,35,ep? s550
1788338123,16:35:23,64.0,56.0,61.0,59,94.70,30,ep? s550
1788338128,16:35:28,63.0,56.0,61.0,59,94.80,30,ep? s550
1788338133,16:35:33,63.0,56.0,61.0,59,94.59,30,ep? s550
1788338138,16:35:38,64.0,58.0,61.0,59,94.78,30,ep? s550
1788338143,16:35:43,66.0,60.0,63.0,59,95.12,30,ep? s550
1788338148,16:35:48,81.0,56.0,61.0,59,94.79,31,ep? s550
1788338154,16:35:54,66.0,59.0,63.0,59,93.66,30,ep? s550
1788338159,16:35:59,66.0,60.0,61.0,59,94.91,30,ep? s550
1788338164,16:36:04,66.0,60.0,61.0,59,94.84,30,ep? s550
1788338169,16:36:09,66.0,60.0,61.0,59,94.93,31,ep? s600
1788338174,16:36:14,64.0,55.0,61.0,59,94.83,31,ep? s600
1788338179,16:36:19,64.0,55.0,61.0,59,94.99,30,ep? s600
1788338184,16:36:24,64.0,56.0,59.0,59,94.81,31,ep? s600
1788338189,16:36:29,66.0,56.0,61.0,60,94.83,27,ep? s600
1788338194,16:36:34,66.0,59.0,61.0,59,94.88,31,ep? s600
1788338199,16:36:39,65.0,59.0,62.0,59,96.68,28,ep? s600
1788338204,16:36:44,66.0,58.0,61.0,59,96.02,25,ep? s600
1788338210,16:36:50,64.0,56.0,61.0,59,93.84,30,ep? s600
1788338215,16:36:55,64.0,56.0,61.0,59,89.98,27,ep? s600
1788338220,16:37:00,63.0,59.0,61.0,59,95.23,30,ep? s650
1788338225,16:37:05,63.0,55.0,58.0,59,95.00,30,ep? s650
1788338230,16:37:10,64.0,56.0,59.0,59,94.94,30,ep? s650
1788338235,16:37:15,64.0,56.0,57.0,59,94.72,34,ep? s650
1788338240,16:37:20,65.0,59.0,61.0,59,94.82,30,ep? s650
1788338245,16:37:25,63.0,58.0,61.0,59,95.09,34,ep? s650
1788338250,16:37:30,63.0,56.0,59.0,60,95.03,30,ep? s650
1788338255,16:37:35,63.0,55.0,59.0,59,94.79,25,ep? s650
1788338260,16:37:40,66.0,59.0,59.0,59,96.51,25,ep? s650
1788338265,16:37:45,63.0,54.0,59.0,59,95.79,27,ep? s650
1788338270,16:37:50,63.0,56.0,58.0,59,96.39,25,ep? s700
1788338275,16:37:55,64.0,61.0,57.0,60,94.13,34,ep? s700
1788338280,16:38:00,68.0,59.0,59.0,60,94.00,25,ep? s700
1788338285,16:38:05,69.0,59.0,61.0,59,93.64,33,ep? s700
1788338290,16:38:10,67.0,57.0,61.0,59,94.12,35,ep? s700
1788338295,16:38:15,68.0,62.0,61.0,59,93.60,29,ep? s700
1788338301,16:38:21,72.0,60.0,63.0,59,97.98,41,ep? s700
1788338306,16:38:26,68.0,58.0,61.0,59,94.94,30,ep? s700
